UTC Time at End of Hour,Demand (MW),Net Generation (MW)
2015-07-01,419530.0,362986.0
2015-07-02,431338.0,386057.0
2015-07-03,628028.0,634246.0
2015-07-04,953071.0,985480.0
2015-07-05,1043282.0,1093765.0
2015-07-06,525372.0,524971.0
2015-07-07,775240.0,802382.0
2015-07-08,645568.0,655783.0
2015-07-09,598320.0,609435.0
2015-07-10,475210.0,500185.0
2015-07-11,878351.0,941701.0
2015-07-12,974020.0,1061362.0
2015-07-13,995321.0,1068684.0
2015-07-14,860990.0,916827.0
2015-07-15,705839.0,762911.0
2015-07-16,1038849.0,1141250.0
2015-07-17,995809.0,1064440.0
2015-07-18,1026666.0,1066399.0
2015-07-19,962859.0,1004068.0
2015-07-20,944414.0,1049155.0
2015-07-21,1025904.0,1155827.0
2015-07-22,1087196.0,1210830.0
2015-07-23,755204.0,844130.0
2015-07-24,940402.0,1062826.0
2015-07-25,1057815.0,1199255.0
2015-07-26,883691.0,1001726.0
2015-07-27,914942.0,1060707.0
2015-07-28,1076241.0,1249481.0
2015-07-29,1220272.6199999996,1311480.6199999999
2015-07-30,874143.0,938423.0
2015-07-31,1144735.0,1232540.0
2015-08-01,1138050.0,1236723.0
2015-08-02,979884.0,1064570.0
2015-08-03,978921.0,1102895.0
2015-08-04,1014266.0,1180263.0
2015-08-05,866199.0,991949.0
2015-08-06,1120737.0,1268280.0
2015-08-07,1111245.0,1214875.0
2015-08-08,835764.0,924214.0
2015-08-09,573287.0,648397.0
2015-08-10,451720.0,504868.0
2015-08-11,1090132.0,1143802.0
2015-08-12,668143.0,744678.0
2015-08-13,968154.0,1071618.0
2015-08-14,1073415.0,1123679.0
2015-08-15,1100979.0,1280815.0
2015-08-16,390154.0,448061.0
2015-08-17,415679.0,463866.0
2015-08-18,1012020.0,1088399.0
2015-08-19,791626.0,845241.0
2015-08-20,761573.0,866104.0
2015-08-21,813122.0,929276.0
2015-08-22,1019558.0,1160371.0
2015-08-23,249490.0,282852.0
2015-08-24,363140.0,407389.0
2015-08-25,907909.0,1020186.0
2015-08-26,509335.0,558236.0
2015-08-27,855691.0,947160.0
2015-08-28,1121655.0,1253505.0
2015-08-29,997284.0,1107128.0
2015-08-30,1021513.0,1155212.0
2015-08-31,1054707.0,1209298.0
2015-09-01,1076739.0,1235665.0
2015-09-02,1141730.0,1282424.0
2015-09-03,800636.0,892152.0
2015-09-04,563425.0,615878.0
2015-09-05,897699.0,1047678.0
2015-09-06,802934.0,966521.0
2015-09-07,788546.0,925338.0
2015-09-08,1089563.0,1157421.0
2015-09-09,650226.0,759221.0
2015-09-10,747046.0,874556.0
2015-09-11,585838.0,684401.0
2015-09-12,873692.0,1024411.0
2015-09-13,824545.0,992934.0
2015-09-14,573994.0,709272.0
2015-09-15,670118.0,800698.0
2015-09-16,395885.0,450468.0
2015-09-17,836079.0,1022297.0
2015-09-18,1077250.0,1068488.0
2015-09-19,860782.0,1051853.0
2015-09-20,855909.0,1062023.0
2015-09-21,784206.0,971320.0
2015-09-22,719053.0,875031.0
2015-09-23,209343.0,254864.0
2015-09-24,871715.0,1039726.0
2015-09-25,791003.0,937904.0
2015-09-26,885016.0,1074438.0
2015-09-27,905074.0,1085828.0
2015-09-28,564884.0,676530.0
2015-09-29,654213.0,777694.0
2015-09-30,565020.0,680187.0
2015-10-01,827138.0,978232.0
2015-10-02,365993.0,446655.0
2015-10-03,823364.0,1032684.0
2015-10-04,482132.0,598262.0
2015-10-05,409699.0,493081.0
2015-10-06,839847.0,1013989.0
2015-10-07,882323.0,1062941.0
2015-10-08,894325.0,1057248.0
2015-10-09,893073.0,1064957.0
2015-10-10,868458.0,1049274.0
2015-10-11,853302.0,1056216.0
